serial no.,state,district,Murder with Rape/Gang Rape,Acid Attack (Sec. 326A IPC),Attempt to Acid Attack (Sec. 326B IPC),"Kidnapping & Abduction of Women (Total) (Col.11 to Col.14,Col.17 to Col.19)
Col.25=Col. 28+Col.31+Col.34+Col.37+Col.40+Col.43+Col.52)
",Kidnapping & Abduction (Sec. 336 IPC),Kidnapping & Abduction in order to Murder (Sec. 364 IPC),Kidnapping for Ransom (Sec. 364A IPC),K&A of Women to compel her for marriage (Total) (Col.15+Col.16),Women (Above 18 yrs),Girls (Below 18 yrs),Procuration of Minor Girls (Sec. 366A IPC),"Kidnapping and Abduction of Women – Others (Secs.363A, 365, 367, 368, 369 IPC)",Human Trafficking (Sec. 370 & 370A IPC) ,Selling of Minor Girls (Sec. 372 IPC),Buying of Minor Girls (Sec. 373 IPC),"Rape (Col.24+Col.25) 

",Women (18 Yrs. And above),Girls (Below 18 yrs).1,"Attempt to Commit Rape (Col.27+Col.28)
",Women (18 Yrs. And above).1,Girls (Below 18 yrs).2,"Assault on Women with Intent to Outrage her Modesty (Col.30+Col.31)
",Women (18 Yrs. And above).2,Girls (Below 18 yrs).3,"Insult to the Modesty of Women (Col.33+Col.34)
",Women (18 Yrs. And above).3,Girls (Below 18 yrs).4,"Immoral Traffic (Prevention) Act, 1956 (Total) (Col. 37 to Col.41)
","Procuring, inducing Children for the sake of prostitution (Section 5)",Detaining a person in premises where prostitution is carried on (Section 6),Prostitution in or in the vicinity of public places (Section 7),Seducing or soliciting for purpose of prostitution (Section 8),Child Rape (Sec. 4 & 6 of POCSO Act) / Sec. 376 IPC),Sexual Assault of Children (Sec. 8 & 10 of POCSO Act) / Sec. 354 IPC),Sexual Harassment (Sec. 12 of POCSO Act) / Sec. 509 IPC),"Indecent Representation of Women (Prohibition) Act, 1986",total crimes,Latitude,Longitude,weighted_crimes,normalized_crimes,safety_score
390,Madhya Pradesh,Morena,0,0,0,85,83,0,0,2,2,0,0,0,2,0,0,82,82,0,0,0,0,114,114,0,6,6,0,0,0,0,0,0,76,32,1,0,687,26.166667,77.5,498,0.07146957520091848,92.85304247990815
391,Madhya Pradesh,Narsinghpur,0,0,0,113,110,0,0,1,1,0,0,2,0,0,0,62,62,0,1,1,0,130,130,0,5,5,0,0,0,0,0,0,67,44,0,0,734,22.93455595,79.0867849,660,0.0947187141216992,90.52812858783008
392,Madhya Pradesh,Neemuch,0,0,0,62,51,0,0,11,3,8,0,0,2,0,0,16,16,0,0,0,0,63,63,0,0,0,0,0,0,0,0,0,45,32,0,0,372,24.63055165,75.18289996,306,0.0439150401836969,95.60849598163031
393,Madhya Pradesh,Panna,0,0,0,149,149,0,0,0,0,0,0,0,0,0,0,46,46,0,0,0,0,70,70,0,2,2,0,0,0,0,0,0,13,35,0,0,582,24.5,80.25,894,0.128300803673938,87.1699196326062
394,Madhya Pradesh,Raisen,0,1,0,237,234,0,0,3,3,0,0,0,2,0,0,49,49,0,0,0,0,100,100,0,2,2,0,0,0,0,0,0,40,55,0,0,877,23.25,78.083333,1413,0.2027841561423651,79.72158438576349
395,Madhya Pradesh,Rajgarh,0,0,0,132,132,0,0,0,0,0,0,0,0,0,0,70,70,0,1,1,0,166,166,0,3,3,0,0,0,0,0,0,28,89,0,0,861,23.87167065,76.77447034,792,0.11366245694603903,88.6337543053961
396,Madhya Pradesh,Ratlam,0,0,0,207,188,0,0,18,1,17,1,0,0,0,0,62,62,0,0,0,0,110,110,0,6,6,0,0,0,0,0,0,123,43,7,0,961,23.50222005,74.95515341,1137,0.16317451205510908,83.6825487944891
397,Madhya Pradesh,Rewa,2,1,0,377,370,0,0,7,0,7,0,0,1,0,0,77,77,0,2,2,0,105,105,0,16,16,0,0,0,0,0,0,124,65,2,0,1356,24.75608455,81.38105739,2249,0.32276119402985076,67.72388059701493
398,Madhya Pradesh,Sagar,0,0,0,250,0,0,0,244,5,239,6,0,0,1,0,70,70,0,0,0,0,234,234,0,5,4,1,6,0,0,6,0,168,117,1,0,1661,23.80830755,78.75825399,99,0.01420780711825488,98.57921928817451
399,Madhya Pradesh,Satna,1,0,0,305,0,0,0,305,0,305,0,0,2,0,0,38,38,0,0,0,0,83,83,0,2,2,0,0,0,0,0,0,44,43,0,0,1251,24.5,81.0,10,0.0014351320321469576,99.8564867967853
400,Madhya Pradesh,Seoni,0,0,0,192,0,0,0,192,1,191,0,0,3,0,0,72,72,0,0,0,0,80,80,0,5,5,0,0,0,0,0,0,24,58,2,0,977,22.2748109,79.72025222,0,0.0,100.0
401,Madhya Pradesh,Shahdol,5,0,0,131,126,0,0,3,1,2,2,0,2,0,0,40,40,0,0,0,0,80,80,0,1,1,0,0,0,0,0,0,58,30,0,0,602,23.3002343,81.364771,824,0.1182548794489093,88.17451205510906
402,Madhya Pradesh,Shajapur,1,0,0,24,23,0,0,1,0,1,0,0,0,0,0,38,38,0,0,0,0,89,89,0,7,7,0,0,0,0,0,0,61,53,0,0,432,23.41710015,76.60747943,148,0.02123995407577497,97.8760045924225
403,Madhya Pradesh,Sheopur,0,0,0,22,17,0,0,5,0,5,0,0,0,0,0,19,19,0,0,0,0,37,37,0,3,3,0,0,0,0,0,0,6,11,0,0,184,25.6656611,76.6954843,102,0.014638346727898967,98.5361653272101
404,Madhya Pradesh,Shivpuri,1,0,0,146,146,0,0,0,0,0,0,0,1,0,0,78,78,0,3,0,3,152,152,0,4,4,0,0,0,0,0,0,66,67,0,0,901,25.37412155,77.82788661,886,0.12715269804822044,87.28473019517796
405,Madhya Pradesh,Sidhi,0,0,0,89,86,0,0,3,3,0,0,0,0,0,0,41,41,0,0,0,0,68,68,0,6,4,2,0,0,0,0,0,31,23,0,0,465,24.25,82.0,516,0.07405281285878301,92.59471871412171
406,Madhya Pradesh,Sehore,0,1,0,95,0,0,0,95,2,93,0,0,0,0,0,29,29,0,0,0,0,128,128,0,1,1,0,0,0,0,0,0,128,48,0,0,778,23.11500415,77.06653558,9,0.0012916188289322618,99.87083811710677
407,Madhya Pradesh,Singrauli,0,0,0,106,100,0,0,6,0,6,0,0,3,0,0,56,56,0,1,1,0,46,46,0,0,0,0,0,0,0,0,0,64,24,0,0,515,24.1974432,82.6661453,600,0.08610792192881746,91.38920780711825
408,Madhya Pradesh,Tikamgarh,0,0,0,95,76,0,0,17,0,17,0,2,0,0,0,29,29,0,0,0,0,41,41,0,1,1,0,0,0,0,0,0,51,31,0,0,431,24.85521045,79.0472546,456,0.06544202066590127,93.45579793340988
409,Madhya Pradesh,Ujjain,1,0,0,216,198,0,0,14,1,13,0,4,0,0,0,79,79,0,0,0,0,162,162,0,15,15,0,4,0,0,0,0,59,89,0,0,1111,23.1885131,75.7716562,1198,0.17192881745120553,82.80711825487946
410,Madhya Pradesh,Umaria,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,14,16,0,0,174,23.64318365,80.94190778,24,0.003444316877152698,99.65556831228473
411,Madhya Pradesh,Vidisha,0,0,0,154,154,0,0,0,0,0,0,0,2,0,0,52,52,0,0,0,0,121,121,0,5,5,0,0,0,0,0,0,99,61,1,0,827,23.5225788,77.8148001,924,0.13260619977037888,86.73938002296211
412,Madhya Pradesh,Cyber Crime Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2512699,76.4950531,0,0.0,100.0
413,Madhya Pradesh,Niwari,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,36,36,0,0,0,0,0,0,0,0,0,8,14,0,0,186,25.3123152,78.66756405,180,0.025832376578645237,97.41676234213547
414,Madhya Pradesh,Bhopal Rural,0,0,0,51,51,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,34,34,0,2,2,0,0,0,0,0,0,42,17,1,0,268,23.2414852,77.3230971,306,0.0439150401836969,95.60849598163031
415,Madhya Pradesh,Indore Rural,0,0,0,113,100,0,0,12,1,11,1,0,0,0,0,26,26,0,0,0,0,86,86,0,1,1,0,0,0,0,0,0,49,36,0,0,549,22.6789502,75.6398031,609,0.08739954075774972,91.26004592422503
416,Maharashtra,Ahmednagar,0,0,0,465,435,0,0,22,7,15,5,3,3,0,0,112,112,0,0,0,0,707,707,0,30,30,0,10,0,10,0,0,136,167,0,0,2976,19.1627725,74.8580243,2725,0.39107347876004595,60.892652123995404
417,Maharashtra,Akola,0,0,0,100,96,0,0,4,0,4,0,0,0,0,0,28,28,0,0,0,0,218,218,0,4,4,0,0,0,0,0,0,71,74,0,0,849,20.76181225,77.19211567,576,0.08266360505166476,91.73363949483353
418,Maharashtra,Amravati Commr.,0,0,0,90,87,0,0,3,1,2,0,0,0,0,0,55,55,0,0,0,0,262,262,0,6,6,0,0,0,0,0,0,58,97,0,0,984,20.9355324,77.7493186,522,0.07491389207807118,92.50861079219288
419,Maharashtra,Amravati Rural,4,0,0,148,145,0,0,3,3,0,0,0,0,0,0,35,35,0,0,0,0,174,174,0,5,5,0,0,0,0,0,0,91,77,16,0,915,21.1435696,78.9633643,910,0.13059701492537315,86.94029850746269
420,Maharashtra,Aurangabad Commr.,0,0,0,158,157,0,0,0,0,0,1,0,0,0,0,49,49,0,0,0,0,240,240,0,10,10,0,3,2,0,1,0,50,53,1,0,1024,19.8852178,75.3156305,973,0.13963834672789896,86.0361653272101
421,Maharashtra,Aurangabad Rural,0,0,0,117,115,0,0,1,1,0,0,1,0,0,0,31,31,0,0,0,0,215,215,0,3,3,0,0,0,0,0,0,52,45,3,0,833,19.8993677,75.3530128,690,0.09902411021814007,90.097588978186
422,Maharashtra,Beed,0,0,0,107,105,0,0,2,0,2,0,0,0,0,0,52,52,0,0,0,0,267,267,0,8,8,0,9,0,0,9,0,87,45,0,0,1020,18.9918442,75.909784,684,0.0981630309988519,90.18369690011481
423,Maharashtra,Bhandara,2,0,0,66,66,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,75,75,0,11,11,0,0,0,0,0,0,26,33,0,0,443,21.1225869,79.79450899,416,0.05970149253731343,94.02985074626866
424,Maharashtra,Buldhana,0,0,0,133,123,0,0,8,1,7,1,1,0,0,0,51,51,0,1,1,0,321,321,0,11,11,0,1,1,0,0,0,59,92,0,0,1195,20.562845,76.40869861,755,0.1083524684270953,89.16475315729046
425,Maharashtra,Chandrapur,0,0,0,193,192,0,1,0,0,0,0,0,3,0,0,38,38,0,0,0,0,221,221,0,40,40,0,0,0,0,0,0,96,77,0,0,1160,20.0967555,79.50454752,1161,0.16661882893226176,83.33811710677382
426,Maharashtra,Dhule,1,0,0,137,135,0,0,2,2,0,0,0,0,0,0,16,16,0,0,0,0,92,92,0,4,4,0,0,0,0,0,0,33,22,0,0,556,21.1305215,74.49006143,820,0.11768082663605052,88.23191733639494
427,Maharashtra,Gadchiroli,0,0,0,47,46,0,0,1,1,0,0,0,0,0,0,17,17,0,0,0,0,38,38,0,1,1,0,0,0,0,0,0,43,11,0,0,261,19.75907035,80.16228073,276,0.03960964408725603,96.0390355912744
428,Maharashtra,Gondia,0,0,0,93,92,0,0,0,0,0,0,1,0,0,0,36,36,0,0,0,0,94,94,0,5,5,0,0,0,0,0,0,52,27,9,0,544,21.455228,80.1962729,552,0.07921928817451206,92.0780711825488
429,Maharashtra,Hingoli,0,0,0,29,27,0,0,2,1,1,0,0,0,0,0,15,15,0,0,0,0,95,95,0,1,1,0,0,0,0,0,0,29,24,0,0,335,19.54311635,77.17394324,162,0.02324913892078071,97.67508610792193
430,Maharashtra,Jalgaon,0,0,0,193,180,0,0,10,0,10,0,3,0,1,0,41,41,0,0,0,0,274,274,0,12,12,0,6,6,0,0,0,112,64,1,0,1240,20.84288265,75.52612464,1137,0.16317451205510908,83.6825487944891
431,Maharashtra,Jalna,0,0,1,86,79,0,1,2,1,1,2,2,0,0,0,54,54,0,0,0,0,358,358,0,9,9,0,1,0,0,1,0,40,42,4,0,1105,19.91883295,75.87085986,515,0.07390929965556832,92.60907003444316
432,Maharashtra,Kolhapur,0,1,0,213,210,0,1,2,0,2,0,0,13,0,0,50,50,0,0,0,0,282,282,0,12,12,0,0,0,0,0,0,147,86,0,0,1363,16.7028412,74.2405329,1278,0.1834098737083812,81.6590126291619
433,Maharashtra,Latur,0,1,0,98,92,0,0,2,0,2,4,0,1,0,0,32,32,0,0,0,0,159,159,0,6,6,0,1,1,0,0,0,33,34,0,0,663,18.35159075,76.75542361,605,0.08682548794489094,91.3174512055109
434,Maharashtra,Mumbai Commr.,0,1,1,1164,1154,0,0,3,3,0,3,4,37,0,0,370,370,0,1,1,0,1859,1859,0,647,647,0,1,0,0,0,0,615,489,28,0,9257,19.093049,72.6949074,6968,1.0,0.0
435,Maharashtra,Mumbai Railway,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,78,78,0,9,9,0,0,0,0,0,0,3,12,0,0,211,18.9877988,72.8518432,60,0.008610792192881746,99.13892078071183
436,Maharashtra,Nagpur Commr.,0,1,0,370,362,0,0,6,6,0,2,0,17,0,0,115,115,0,0,0,0,230,230,0,12,12,0,6,0,0,6,0,135,111,2,0,1738,21.1543862,79.0526534,2235,0.32075200918484503,67.9247990815155
437,Maharashtra,Nagpur Railway,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,19,21.1513518,79.0904608,18,0.0025832376578645237,99.74167623421354
438,Maharashtra,Nagpur Rural,1,1,0,126,126,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,93,93,0,6,6,0,1,1,0,0,0,85,58,0,0,667,21.138207,78.81073106,783,0.11237083811710678,88.76291618828932
439,Maharashtra,Nanded,1,0,0,128,117,0,0,10,1,9,0,1,0,0,0,39,39,0,0,0,0,196,196,0,13,13,0,0,0,0,0,0,68,51,0,0,882,19.09400875,77.48319215,712,0.10218140068886337,89.78185993111366
440,Maharashtra,Nandurbar,3,0,0,84,82,1,0,0,0,0,0,1,0,0,0,17,17,0,0,0,0,55,55,0,3,3,0,0,0,0,0,0,45,8,2,0,376,21.51416215,74.54055133,532,0.07634902411021814,92.36509758897819
441,Maharashtra,Nasik Commr.,0,0,0,251,251,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,91,91,0,6,6,0,0,0,0,0,0,49,37,0,0,846,19.9812635,73.7678204,1506,0.2161308840413318,78.38691159586682
442,Maharashtra,Nasik Rural,0,0,0,369,364,1,0,1,1,0,2,1,0,0,0,34,34,0,0,0,0,233,233,0,12,12,0,0,0,0,0,0,102,49,6,0,1454,28.2516657,76.8144185,2212,0.317451205510907,68.2548794489093
443,Maharashtra,Navi Mumbai,0,0,0,251,251,0,0,0,0,0,0,0,11,0,0,105,105,0,0,0,0,200,200,0,38,38,0,3,3,0,0,0,131,51,2,0,1389,19.0308262,73.0198537,1530,0.2195752009184845,78.04247990815155
444,Maharashtra,Osmanabad,0,1,0,73,67,0,0,6,0,6,0,0,0,0,0,43,43,0,0,0,0,158,158,0,6,6,0,9,9,0,0,0,37,25,0,0,647,18.28224535,76.0588166,483,0.06931687715269805,93.0683122847302
445,Maharashtra,Palghar,1,0,0,120,119,0,1,0,0,0,0,0,0,0,0,35,35,0,0,0,0,68,68,0,18,18,0,0,0,0,0,0,59,20,0,0,562,19.757249,73.09311986,733,0.10519517795637198,89.4804822043628
446,Maharashtra,Parbhani,0,0,0,61,59,0,0,0,0,0,0,2,0,0,0,26,26,0,0,0,0,107,107,0,2,2,0,0,0,0,0,0,31,33,0,0,456,19.29019805,76.60264434,354,0.050803673938002294,94.91963260619977
447,Maharashtra,Pune Commr.,0,0,0,567,561,0,0,5,2,3,0,1,16,0,0,305,305,0,0,0,0,474,474,0,40,40,0,0,0,0,0,0,74,63,18,0,2948,18.5253556,73.8063284,3366,0.4830654420206659,51.69345579793341
448,Maharashtra,Pune Railway,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18.5280562,73.87242109,22,0.003157290470723307,99.68427095292766
449,Maharashtra,Pune Rural,2,0,0,373,369,0,0,2,2,0,2,0,6,0,0,110,110,0,0,0,0,594,594,0,48,48,0,5,0,0,0,5,183,150,4,0,2607,18.5431042,73.82229853,2282,0.3274971297359357,67.25028702640643
450,Maharashtra,Raigad,1,0,0,87,87,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,105,105,0,13,13,0,0,0,0,0,0,73,17,0,0,567,18.4928092,73.13807095,532,0.07634902411021814,92.36509758897819
451,Maharashtra,Ratnagiri,0,0,0,49,46,0,0,3,0,3,0,0,0,0,0,14,14,0,0,0,0,47,47,0,25,25,0,0,0,0,0,0,37,11,3,0,324,17.2826079,73.4569787,276,0.03960964408725603,96.0390355912744
452,Maharashtra,Sangli,0,0,1,234,229,0,1,3,0,3,0,1,2,0,0,67,67,0,0,0,0,196,196,0,16,16,0,0,0,0,0,0,78,8,19,0,1137,16.8502534,74.5948885,1391,0.19962686567164178,80.03731343283582
453,Maharashtra,Satara,0,0,0,240,232,0,0,2,0,2,1,5,4,0,0,57,57,0,0,0,0,252,252,0,12,12,0,0,0,0,0,0,127,49,35,0,1339,17.63612885,74.29827808,1401,0.20106199770378874,79.89380022962112
454,Maharashtra,Sindhudurg,1,0,0,20,19,0,0,1,0,1,0,0,0,0,0,8,8,0,0,0,0,68,68,0,5,5,0,0,0,0,0,0,29,5,2,0,240,16.1357193,73.6522086,124,0.017795637198622274,98.22043628013776
455,Maharashtra,Solapur Commr.,0,0,0,73,73,0,0,0,0,0,0,0,6,0,0,22,22,0,0,0,0,75,75,0,3,3,0,0,0,0,0,0,41,29,0,0,422,17.6548534,75.8847561,438,0.06285878300803674,93.71412169919633
456,Maharashtra,Solapur Rural,0,0,0,217,213,0,0,4,0,4,0,0,2,0,0,74,74,0,0,0,0,389,389,0,11,11,0,2,0,0,0,0,155,83,0,0,1628,17.6681132,75.9146804,1278,0.1834098737083812,81.6590126291619
457,Maharashtra,Thane Commr.,2,1,0,683,679,0,1,3,3,0,0,0,24,0,0,171,171,0,0,0,0,432,432,0,60,60,0,0,0,0,0,0,261,188,1,0,3172,19.2220962,72.9246722,4112,0.5901262916188289,40.98737083811711
458,Maharashtra,Thane Rural,0,0,0,89,89,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,85,85,0,16,16,0,0,0,0,0,0,35,20,1,0,524,19.2688673,72.8509901,534,0.07663605051664753,92.33639494833524
459,Maharashtra,Wardha,1,1,0,104,104,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,157,157,0,4,4,0,0,0,0,0,0,70,63,1,0,720,20.82562315,78.6131455,643,0.09227898966704937,90.77210103329506
460,Maharashtra,Washim,0,0,0,57,51,0,0,6,0,6,0,0,0,0,0,21,21,0,0,0,0,134,134,0,5,5,0,2,0,0,0,0,29,41,0,0,512,20.28741775,77.2369655,306,0.0439150401836969,95.60849598163031
461,Maharashtra,Yavatmal,0,0,1,204,193,1,0,8,2,6,1,1,0,0,0,66,66,0,0,0,0,260,260,0,9,9,0,0,0,0,0,0,87,23,90,0,1287,20.3270469,78.11868704,1185,0.17006314580941448,82.99368541905855
462,Maharashtra,Pimpri Chinchwad City,0,0,0,387,379,3,1,2,2,0,1,1,41,0,0,120,120,0,0,0,0,342,342,0,16,16,0,5,2,0,0,3,128,60,51,0,2022,18.6279288,73.8009829,2356,0.3381171067738232,66.18828932261769
463,Maharashtra,Aurangabad Railway,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,10,0,2,2,0,0,0,0,0,0,2,3,0,0,35,19.8597998,75.3114008,12,0.001722158438576349,99.82778415614236
464,Maharashtra,Mira Bhayandar Vasai Virar Commr.,1,1,0,426,419,0,1,1,1,0,5,0,32,0,0,160,160,0,0,0,0,422,422,0,82,82,0,0,0,0,0,0,196,94,33,0,2538,19.2725374,72.8710398,2587,0.3712686567164179,62.87313432835822
465,Manipur,Bishnupur,0,0,0,6,0,0,0,3,3,0,0,3,0,0,0,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,35,23.0757335,87.3146343,0,0.0,100.0
466,Manipur,Chandel,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24.1700959,94.00596727,6,0.0008610792192881745,99.91389207807119
467,Manipur,Churachandpur,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,5,0,0,11,24.28131075,93.6760386,0,0.0,100.0
468,Manipur,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,8,8,0,0,0,0,0,0,0,0,0,0,24,47.597127,-122.325704,0,0.0,100.0
469,Manipur,Imphal East,0,0,0,10,0,0,0,3,3,0,7,0,0,0,0,9,9,0,0,0,0,11,11,0,1,1,0,0,0,0,0,0,13,0,0,0,78,24.85154025,94.00947958,63,0.009041331802525832,99.09586681974741
470,Manipur,Imphal West,0,0,0,30,1,0,0,11,2,9,14,4,0,0,0,18,18,0,0,0,0,25,25,0,1,1,0,0,0,0,0,0,3,1,0,0,163,24.757326,93.85847858,132,0.01894374282433984,98.10562571756601
471,Manipur,Senapati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,25.39336975,94.15051748,0,0.0,100.0
472,Manipur,Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25.0648711,93.54654321,0,0.0,100.0
473,Manipur,Thoubal,0,0,0,9,1,0,1,4,4,0,3,0,0,0,0,4,4,0,0,0,0,15,13,2,0,0,0,0,0,0,0,0,6,2,0,0,68,24.62525025,94.00835224,42,0.006027554535017222,99.39724454649827
474,Manipur,Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,25.3110738,94.47537752,0,0.0,100.0
475,Manipur,Kakching,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,4,4,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,3,1,0,0,29,24.4974827,93.9835543,9,0.0012916188289322618,99.87083811710677
476,Manipur,Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0529479,90.8278454,0,0.0,100.0
477,Manipur,Kangpokpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25.00325985,93.89616473,0,0.0,100.0
478,Manipur,Jiribam,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,24.8098254,93.1137269,9,0.0012916188289322618,99.87083811710677
479,Manipur,Noney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8625867,93.6237454,0,0.0,100.0
480,Manipur,Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24.2595653,93.1906004,0,0.0,100.0
481,Manipur,Tengnoupal,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,8,24.3847802,94.1472634,6,0.0008610792192881745,99.91389207807119
482,Manipur,Narcotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.0870345,145.370784,0,0.0,100.0
483,Meghalaya,Garo Hills East,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,4,4,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,15,2,0,0,39,25.5,90.5,12,0.001722158438576349,99.82778415614236
484,Meghalaya,Garo Hills North,0,0,0,7,0,0,0,1,1,0,0,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0,31,25.8619841,90.70177049,0,0.0,100.0
485,Meghalaya,Garo Hills South,0,0,0,5,0,0,0,2,2,0,1,2,0,0,0,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,9,2,1,0,32,25.347969,90.56577726,9,0.0012916188289322618,99.87083811710677
486,Meghalaya,Garo Hills South West,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,25.44463095,89.9969655,0,0.0,100.0
487,Meghalaya,Garo Hills West,0,0,0,34,0,0,1,6,6,0,12,15,2,0,0,12,9,3,11,10,1,18,18,0,6,6,0,1,1,0,0,0,33,8,1,0,214,25.60631425,90.21139055,125,0.01793915040183697,98.2060849598163
488,Meghalaya,Jaintia Hills West,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,8,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,37,2,0,0,65,25.5,92.25,6,0.0008610792192881745,99.91389207807119
489,Meghalaya,Jaintia Hills East,0,0,0,12,10,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,21,3,0,0,56,25.25157605,92.48405007,69,0.009902411021814007,99.0097588978186
490,Meghalaya,Khasi Hills East,1,0,0,22,19,2,0,0,0,0,0,1,0,0,0,21,21,0,3,3,0,30,30,0,13,13,0,0,0,0,0,0,61,16,4,0,260,25.5498782,90.8377048,144,0.02066590126291619,97.93340987370837
491,Meghalaya,Khasi Hills South West,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,19,25.3307221,91.3217388,0,0.0,100.0
492,Meghalaya,Khasi Hills West,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,10,10,0,3,3,0,2,2,0,1,1,0,0,0,0,0,0,36,5,0,0,83,25.5498782,90.8377048,30,0.004305396096440873,99.56946039035591
493,Meghalaya,Ri-Bhoi,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,27,16,0,0,77,25.87640255,91.85675742,30,0.004305396096440873,99.56946039035591
494,Meghalaya,Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05453455,76.53512052,0,0.0,100.0
495,Meghalaya,Khasi Hills Eastern West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,2,0,0,19,25.5,91.5,0,0.0,100.0
496,Mizoram,Aizawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,1,1,0,13,13,0,0,0,0,0,0,0,0,0,16,13,3,0,80,23.7433532,92.7382756,0,0.0,100.0
497,Mizoram,Champhai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,1,0,0,10,23.54437435,93.34795058,0,0.0,100.0
